# Schemat pliku
#
# <Ilosc_Krawedzi>
# <Numer_Krawedzi> <Wierzcholek_Poczatkowy> <Wierzchołek_Koncowy>
#
# Dane
# Krawedzie musza byc numerowane od zera
#
55
0 1 2
1 1 4
2 1 5
3 1 6
4 1 7
5 1 8
6 1 9
7 1 10
8 2 4
9 2 3
10 2 5
11 2 9
12 2 10
13 2 11
14 3 4
15 3 8
16 3 7
17 3 5
18 3 11
19 3 10
20 4 5
21 4 6
22 4 7
23 4 8
24 4 9
25 4 10
26 5 6
27 5 7
28 5 8
29 5 9
30 5 10
31 5 11
32 6 3
33 6 2
34 6 7
35 6 8
36 6 9
37 6 11
38 7 2
39 7 8
40 7 9
41 7 10
42 7 11
43 8 9
44 8 10
45 8 2
46 9 10
47 9 11
48 9 3
49 10 3
50 10 11
51 10 6
52 11 1
53 11 4
54 8 11
